y_val,x_val
TikTok,37.66
Tinder,23.68
Honor of Kings,22.27
Uma Musume Pretty Derby,19.56
Game for Peace,18.49
Genshin Impact,17.64
Monster Strike,16.59
Dragon Ball Z Dokkan Battle,15.90
Roblox,15.49
Disney+,14.90
